"volume","category","canonical_path","original_path","size_bytes","sha256","action"
"1","other","vol_1\derivatives\other\__ia_thumb.jpg","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\__ia_thumb.jpg","15321","7a0f8823fb1b45646d0dbc85edb6a130fef8ca6eb28db622d584b6cb1ea0aee2","skipped_existing"
"1","epub","vol_1\derivatives\epub\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.epub","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.epub","181361866","23daf4eb586298e7d698ba15bd94ba2a3ef8bf9c61fe90cbf4e696af05f1cde6","skipped_existing"
"1","pdf","vol_1\pdf\motte_1729_vol1.pdf","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.pdf","138984203","91fad6b499d55b871f51a27143892bf21563362974cc3f89b2cc9004e5dd2779","skipped_existing"
"1","torrent","vol_1\derivatives\torrent\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_archive.torrent","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_archive.torrent","44931","46f77e2f87953cba32c043101ec4c09975fccf57dff3c27c3ac85bf07b8f7051","skipped_existing"
"1","other","vol_1\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_chocr.html.gz","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_chocr.html.gz","7984854","24db5c28337e685d569cb8a9375c2624ce5a31a29a84385ade75f524a5bc5d7d","skipped_existing"
"1","ocr","ocr\vol_1\djvu.txt","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.txt","540408","b64805500c6e2aa52fe205da8ac20ad5f39eeef0d151f16ebb7899b7ec455f4c","skipped_existing"
"1","ocr","ocr\vol_1\djvu.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.xml","8111957","e56d2844d69d47e0063cf2524c389dc5662bf7ef6f1815c6e27738b0e8ed064c","skipped_existing"
"1","archive_metadata","vol_1\archive_raw\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_files.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_files.xml","11115","55f224e575601b162d62b14ad94f1af7d64ee322c35a8b7ff54489a9ac8c9142","skipped_existing"
"1","other","vol_1\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_frame-md.json","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_frame-md.json","219","bb52c7b88d36b7c9e592410a2f2bd301eeaa7f4fb8c4dd3a975b41359c6cfe21","skipped_existing"
"1","ocr","ocr\vol_1\hocr.html","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr.html","16213155","646e98ad949097f7ec01d23985c95daef2d293f7fba98470dbc26597db692667","skipped_existing"
