relative_path	file_name	extension	size_bytes	last_write_time
__ia_thumb.jpg	__ia_thumb.jpg	.jpg	12594	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.epub	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.epub	.epub	202695917	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.pdf	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.pdf	.pdf	203563013	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_archive.torrent	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_archive.torrent	.torrent	30942	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_chocr.html.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_chocr.html.gz	.gz	12327400	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.txt	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.txt	.txt	833180	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.xml	.xml	12387784	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_files.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_files.xml	.xml	10670	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_frame-md.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_frame-md.json	.json	223	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr.html	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr.html	.html	24784310	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_pageindex.json.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_pageindex.json.gz	.gz	6427	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_searchtext.txt.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_hocr_searchtext.txt.gz	.gz	252394	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_itemimage.png	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_itemimage.png	.png	2477736	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_jp2.zip	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_jp2.zip	.zip	2004175245	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.sqlite	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.sqlite	.sqlite	53248	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_meta.xml	.xml	4174	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_page_numbers.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_page_numbers.json	.json	92237	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_rotations.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_rotations.json	.json	49130	2026-05-31T12:19:23
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_scandata.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_scandata.xml	.xml	189124	2026-05-31T12:19:23
header\header_0000.jp2	header_0000.jp2	.jp2	347320	2026-05-31T12:19:23
header\header_0001.jp2	header_0001.jp2	.jp2	1967272	2026-05-31T12:19:23
header\header_0002.jp2	header_0002.jp2	.jp2	793317	2026-05-31T12:19:23
